,Date,New Cases
0,1/23/20,0
1,1/24/20,0
2,1/25/20,0
3,1/26/20,1
4,1/27/20,0
5,1/28/20,0
6,1/29/20,0
7,1/30/20,0
8,1/31/20,0
9,2/1/20,0
10,2/2/20,0
11,2/3/20,0
12,2/4/20,0
13,2/5/20,0
14,2/6/20,0
15,2/7/20,0
16,2/8/20,0
17,2/9/20,0
18,2/10/20,0
19,2/11/20,0
20,2/12/20,0
21,2/13/20,0
22,2/14/20,0
23,2/15/20,0
24,2/16/20,0
25,2/17/20,0
26,2/18/20,0
27,2/19/20,0
28,2/20/20,0
29,2/21/20,0
30,2/22/20,0
31,2/23/20,0
32,2/24/20,0
33,2/25/20,0
34,2/26/20,0
35,2/27/20,0
36,2/28/20,0
37,2/29/20,0
38,3/1/20,0
39,3/2/20,0
40,3/3/20,0
41,3/4/20,0
42,3/5/20,0
43,3/6/20,1
44,3/7/20,0
45,3/8/20,0
46,3/9/20,0
47,3/10/20,0
48,3/11/20,1
49,3/12/20,0
50,3/13/20,0
51,3/14/20,1
52,3/15/20,0
53,3/16/20,4
54,3/17/20,1
55,3/18/20,2
56,3/19/20,11
57,3/20/20,12
58,3/21/20,15
59,3/22/20,32
60,3/23/20,58
61,3/24/20,60
62,3/25/20,52
63,3/26/20,48
64,3/27/20,100
65,3/28/20,55
66,3/29/20,91
67,3/30/20,145
68,3/31/20,98
69,4/1/20,83
70,4/2/20,90
71,4/3/20,88
72,4/4/20,122
73,4/5/20,155
74,4/6/20,107
75,4/7/20,62
76,4/8/20,64
77,4/9/20,130
78,4/10/20,52
79,4/11/20,150
80,4/12/20,69
81,4/13/20,60
82,4/14/20,36
83,4/15/20,90
84,4/16/20,118
85,4/17/20,140
86,4/18/20,87
87,4/19/20,98
88,4/20/20,47
89,4/21/20,102
90,4/22/20,108
91,4/23/20,124
92,4/24/20,146
93,4/25/20,118
94,4/26/20,125
95,4/27/20,98
96,4/28/20,121
97,4/29/20,145
98,4/30/20,249
99,5/1/20,184
100,5/2/20,265
101,5/3/20,164
102,5/4/20,166
103,5/5/20,178
104,5/6/20,209
105,5/7/20,58
106,5/8/20,329
107,5/9/20,254
108,5/10/20,48
109,5/11/20,161
110,5/12/20,231
111,5/13/20,122
112,5/14/20,258
113,5/15/20,222
114,5/16/20,275
115,5/17/20,144
116,5/18/20,100
117,5/19/20,142
118,5/20/20,162
119,5/21/20,191
120,5/22/20,115
121,5/23/20,227
122,5/24/20,100
123,5/25/20,102
124,5/26/20,69
125,5/27/20,179
126,5/28/20,269
127,5/29/20,216
128,5/30/20,410
129,5/31/20,293
130,6/1/20,122
131,6/2/20,599
132,6/3/20,532
133,6/4/20,161
134,6/5/20,862
135,6/6/20,670
136,6/7/20,737
137,6/8/20,505
138,6/9/20,371
139,6/10/20,908
140,6/11/20,736
141,6/12/20,992
142,6/13/20,781
143,6/14/20,901
144,6/15/20,680
145,6/16/20,1403
146,6/17/20,1497
147,6/18/20,1608
148,6/19/20,2119
149,6/20/20,2304
150,6/21/20,1833
151,6/22/20,1514
152,6/23/20,2233
153,6/24/20,1109
154,6/25/20,2143
155,6/26/20,2491
156,6/27/20,2748
157,6/28/20,2588
158,6/29/20,216
159,6/30/20,3414
160,7/1/20,3674
161,7/2/20,2491
162,7/3/20,3172
163,7/4/20,1900
164,7/5/20,2467
165,7/6/20,2619
166,7/7/20,2628
167,7/8/20,2585
168,7/9/20,3037
169,7/10/20,3163
170,7/11/20,2153
171,7/12/20,1665
172,7/13/20,1070
173,7/14/20,3017
174,7/15/20,2250
175,7/16/20,2471
176,7/17/20,2909
177,7/18/20,2007
178,7/19/20,1601
179,7/20/20,1240
180,7/21/20,2277
181,7/22/20,1555
182,7/23/20,1704
183,7/24/20,2366
184,7/25/20,2678
185,7/26/20,1386
186,7/27/20,1311
187,7/28/20,1458
188,7/29/20,1702
189,7/30/20,1704
190,7/31/20,2441
191,8/1/20,2002
192,8/2/20,984
193,8/3/20,681
194,8/4/20,829
195,8/5/20,1293
196,8/6/20,940
197,8/7/20,902
198,8/8/20,621
199,8/9/20,508
200,8/10/20,318
201,8/11/20,420
202,8/12/20,397
203,8/13/20,580
204,8/14/20,584
205,8/15/20,513
206,8/16/20,520
207,8/17/20,177
208,8/18/20,396
209,8/19/20,426
210,8/20/20,416
211,8/21/20,366
212,8/22/20,519
213,8/23/20,102
214,8/24/20,175
215,8/25/20,328
216,8/26/20,144
217,8/27/20,270
218,8/28/20,282
219,8/29/20,403
220,8/30/20,252
221,8/31/20,87
222,9/1/20,276
223,9/2/20,342
224,9/3/20,763
225,9/4/20,386
226,9/5/20,361
227,9/6/20,108
228,9/7/20,40
229,9/8/20,36
230,9/9/20,284
231,9/10/20,247
232,9/11/20,316
233,9/12/20,405
234,9/13/20,215
235,9/14/20,82
236,9/15/20,281
237,9/16/20,281
238,9/17/20,900
239,9/18/20,194
240,9/19/20,341
241,9/20/20,270
242,9/21/20,150
243,9/22/20,308
244,9/23/20,95
245,9/24/20,175
246,9/25/20,169
247,9/26/20,210
248,9/27/20,248
249,9/28/20,166
250,9/29/20,361
251,9/30/20,118
252,10/1/20,431
253,10/2/20,279
254,10/3/20,402
255,10/4/20,215
256,10/5/20,228
257,10/6/20,506
258,10/7/20,425
259,10/8/20,525
260,10/9/20,431
261,10/10/20,549
262,10/11/20,431
263,10/12/20,296
264,10/13/20,436
265,10/14/20,541
266,10/15/20,601
267,10/16/20,460
268,10/17/20,590
269,10/18/20,518
270,10/19/20,560
271,10/20/20,601
272,10/21/20,646
273,10/22/20,574
274,10/23/20,594
275,10/24/20,482
276,10/25/20,1005
277,10/26/20,540
278,10/27/20,736
279,10/28/20,493
280,10/29/20,785
281,10/30/20,992
282,10/31/20,1033
283,11/1/20,1020
284,11/2/20,403
285,11/3/20,970
286,11/4/20,434
287,11/5/20,1370
288,11/6/20,1311
289,11/7/20,1433
290,11/8/20,1148
291,11/9/20,213
292,11/10/20,2028
293,11/11/20,1116
294,11/12/20,635
295,11/13/20,2022
296,11/14/20,2093
297,11/15/20,1247
298,11/16/20,789
